geneType	KR_zinb_Was	KR_zinb_JSD	KR_kde_Was	KR_kde_JSD	PS_zinb_Was	PS_zinb_JSD	PS_kde_Was	PS_kde_JSD	deseq2_pval	mast_pval_glm	mast_pval_glmer	ranksum_pval
EE	0.688	0.621	0.412	0.453	0.683	0.609	0.393	0.435	0.651399622660542	0.286255087972759	0.573015752900036	0.086157495479612
varDE	0.394	0.136	0.26	0.725	0.402	0.159	0.28	0.739	0.705927845765194	8.05219874575901e-05	0.00990579872024794	0.0106301900878633
EE	0.756	0.826	0.905	0.586	0.758	0.837	0.915	0.606	0.549269220379121	0.241128569159396	0.656776667057923	0.173224315022765
EE	0.582	0.498	0.468	0.7	0.637	0.527	0.471	0.694	0.0542900223577341	0.000196329150517704	0.0821586667109618	0.000135894872227683
varDE	0.072	0.041	0.395	0.694	0.068	0.053	0.42	0.695	0.36408736463855	7.00969019196849e-11	7.92212147384824e-05	0.34061312293428
varDE	0.634	0.613	0.207	0.223	0.549	0.484	0.124	0.096	0.29526780980457	0.0356055403547054	0.145394113572333	0.284058570953454
EE	0.507	0.529	0.573	0.99	0.536	0.515	0.593	0.986	0.536532712953097	0.405653564237124	0.558829603572824	0.395833620304604
EE	0.079	0.06	0.088	0.259	0.082	0.063	0.092	0.252	0.0916213638448183	0.0014660351881444	0.171151554190097	0.000555550866235667
EE	0.154	0.198	0.092	0.278	0.115	0.173	0.081	0.264	0.0395679189549629	3.94329143204911e-05	0.00838247530679909	9.84326446163778e-06
EE	0.977	0.917	0.727	0.812	0.972	0.888	0.722	0.78	0.942384037367459	0.182952500639103	0.866292415437004	0.654194516963582
EE	0.689	0.39	0.738	0.455	0.702	0.424	0.753	0.484	0.493413915296997	0.0461396131550877	0.228423848529827	0.34444319862511
EE	0.753	0.682	0.669	0.158	0.728	0.645	0.598	0.088	0.405280188900498	0.0802249925053383	0.190123254813997	0.317548781110255
EE	0.461	0.288	0.152	0.253	0.461	0.287	0.154	0.233	0.0840167786563191	6.03679369946329e-29	0.104537158189983	2.14774331239721e-27
EE	0.37	0.259	0.183	0.197	0.427	0.301	0.183	0.189	0.5816523535079	0.648445586611711	0.653757907622705	0.453351377936638
EE	0.342	0.466	0.517	0.731	0.39	0.506	0.506	0.741	0.472781818555397	0.00901232593752915	0.160993606766665	0.408591969579799
EE	0.847	0.845	0.618	0.969	0.757	0.764	0.46	0.957	0.204454601365126	0.00241243768615133	0.51836653141438	0.000433090647655778
